Date,Open,High,Low,Close
07 Dec 2018,10644.8,10704.55,10599.35,10693.7
06 Dec 2018,10718.15,10722.65,10588.25,10601.15
05 Dec 2018,10820.45,10821.05,10747.95,10782.9
04 Dec 2018,10877.1,10890.95,10833.35,10869.5
03 Dec 2018,10930.7,10941.2,10845.35,10883.75
30 Nov 2018,10892.1,10922.45,10835.1,10876.75
29 Nov 2018,10808.7,10883.05,10782.35,10858.7
28 Nov 2018,10708.75,10757.8,10699.85,10728.85
27 Nov 2018,10621.45,10695.15,10596.35,10685.6
26 Nov 2018,10568.3,10637.8,10489.75,10628.6
22 Nov 2018,10612.65,10646.25,10512,10526.75
21 Nov 2018,10670.95,10671.3,10562.35,10600.05
20 Nov 2018,10740.1,10740.85,10640.85,10656.2
19 Nov 2018,10731.25,10774.7,10688.8,10763.4
16 Nov 2018,10644,10695.15,10631.15,10682.2
15 Nov 2018,10580.6,10646.5,10557.5,10616.7
14 Nov 2018,10634.9,10651.6,10532.7,10576.3
13 Nov 2018,10451.9,10596.25,10440.55,10582.5
12 Nov 2018,10607.8,10645.5,10464.05,10482.2
09 Nov 2018,10614.7,10619.55,10544.85,10585.2
07 Nov 2018,10614.45,10616.45,10582.3,10598.4
06 Nov 2018,10552,10600.25,10491.45,10530
05 Nov 2018,10558.75,10558.8,10477,10524
02 Nov 2018,10462.3,10606.95,10457.7,10553
01 Nov 2018,10441.7,10441.9,10341.9,10380.45
31 Oct 2018,10209.55,10396,10105.1,10386.6
30 Oct 2018,10239.4,10285.1,10175.35,10198.4
29 Oct 2018,10078.1,10275.3,10020.35,10250.85
26 Oct 2018,10122.35,10128.85,10004.55,10030
25 Oct 2018,10135.05,10166.6,10079.3,10124.9
24 Oct 2018,10278.15,10290.65,10126.7,10224.75
23 Oct 2018,10152.6,10222.1,10102.35,10146.8
22 Oct 2018,10405.85,10408.55,10224,10245.25
19 Oct 2018,10339.7,10380.1,10249.6,10303.55
17 Oct 2018,10688.7,10710.15,10436.45,10453.05
16 Oct 2018,10550.15,10604.9,10525.3,10584.75
15 Oct 2018,10524.2,10526.3,10410.15,10512.5
12 Oct 2018,10331.55,10492.45,10322.15,10472.5
11 Oct 2018,10169.8,10335.95,10138.6,10234.65
10 Oct 2018,10331.85,10482.35,10318.25,10460.1
09 Oct 2018,10390.3,10397.6,10279.35,10301.05
08 Oct 2018,10310.15,10398.35,10198.4,10348.05
05 Oct 2018,10514.1,10540.65,10261.9,10316.45
04 Oct 2018,10754.7,10754.7,10547.25,10599.25
03 Oct 2018,10982.7,10989.05,10843.75,10858.25
01 Oct 2018,10930.9,11035.65,10821.55,11008.3
28 Sep 2018,11008.1,11034.1,10850.3,10930.45
27 Sep 2018,11079.8,11089.45,10953.35,10977.55
26 Sep 2018,11145.55,11145.55,10993.05,11053.8
25 Sep 2018,10969.95,11080.6,10882.85,11067.45
24 Sep 2018,11164.4,11170.15,10943.6,10967.4
21 Sep 2018,11271.3,11346.8,10866.45,11143.1
19 Sep 2018,11326.65,11332.05,11210.9,11234.35
18 Sep 2018,11381.55,11411.45,11268.95,11278.9
17 Sep 2018,11464.95,11464.95,11366.9,11377.75
14 Sep 2018,11443.5,11523.25,11430.55,11515.2
12 Sep 2018,11340.1,11380.75,11250.2,11369.9
11 Sep 2018,11476.85,11479.4,11274,11287.5
10 Sep 2018,11570.25,11573,11427.3,11438.1
07 Sep 2018,11558.25,11603,11484.4,11589.1
06 Sep 2018,11514.15,11562.25,11436.05,11536.9
05 Sep 2018,11514.85,11542.65,11393.85,11476.95
04 Sep 2018,11598.75,11602.55,11496.85,11520.3
03 Sep 2018,11751.8,11751.8,11567.4,11582.35
31 Aug 2018,11675.85,11727.65,11640.1,11680.5
30 Aug 2018,11694.75,11698.8,11639.7,11676.8
29 Aug 2018,11744.95,11753.2,11678.85,11691.9
28 Aug 2018,11731.95,11760.2,11710.5,11738.5
27 Aug 2018,11605.85,11700.95,11595.6,11691.95
24 Aug 2018,11566.6,11604.6,11532,11557.1
23 Aug 2018,11620.7,11620.7,11546.7,11582.75
21 Aug 2018,11576.2,11581.75,11539.6,11570.9
20 Aug 2018,11502.1,11565.3,11499.65,11551.75
17 Aug 2018,11437.15,11486.45,11431.8,11470.75
16 Aug 2018,11397.15,11449.85,11366.25,11385.05
14 Aug 2018,11381.7,11452.45,11370.8,11435.1
13 Aug 2018,11369.6,11406.3,11340.3,11355.75
10 Aug 2018,11474.95,11478.75,11419.65,11429.5
09 Aug 2018,11493.25,11495.2,11454.1,11470.7
08 Aug 2018,11412.5,11459.95,11379.3,11450
07 Aug 2018,11423.15,11428.95,11359.7,11389.45
06 Aug 2018,11401.5,11427.65,11370.6,11387.1
03 Aug 2018,11297.8,11368,11294.55,11360.8
02 Aug 2018,11328.9,11328.9,11234.95,11244.7
01 Aug 2018,11359.8,11390.55,11313.55,11346.2
31 Jul 2018,11311.05,11366,11267.75,11356.5
30 Jul 2018,11296.65,11328.1,11261.45,11319.55
27 Jul 2018,11232.75,11283.4,11210.25,11278.35
26 Jul 2018,11132.95,11185.85,11125.7,11167.3
25 Jul 2018,11148.4,11157.15,11113.25,11132
24 Jul 2018,11109,11143.4,11092.5,11134.3
23 Jul 2018,11019.85,11093.4,11010.95,11084.75
20 Jul 2018,10963.5,11030.25,10946.2,11010.2
19 Jul 2018,10999.5,11006.5,10935.45,10957.1
18 Jul 2018,11060.2,11076.2,10956.3,10980.45
17 Jul 2018,10939.65,11018.5,10925.6,11008.05
16 Jul 2018,11018.95,11019.5,10926.25,10936.85
13 Jul 2018,11056.9,11071.35,10999.75,11018.9
